Celltype_Source_ID,Genes
GMP,"ARHGAP6,ATP5J,CD5L,MS4A3,CDH9,CPA3,CRHBP,CRYGD,CTSG,DNTT,FLT3,GABPA,LPAR4,H2AFZ,HDC,HMGB2,HNRNPA1,ITGA9,KCNJ14,LDHB,MPO,MTIF2,HNRNPM,NPM1,SERPINB10,PNN,PRG2,PRKG2,PSMA4,RAG2,RNASE2,RNASE3,RPL5,RYR3,SELP,STIL,SRP9,SSB,STXBP3,TEC,TOP2B,TRH,UBB,UMPS,VPREB1,XPO1,DEK,NCOA4,TTF2,UBA3,UBA2,SMNDC1,ARPP21,MRPL3,PARK7,CBX3,SMC5,GTPBP4,HPGDS,GNL2,CLEC1B,NOL7,UFC1,VPS54,GAR1,MRPL20,TTC27,WDR12,KIF17,MAP7D3,CXorf21,APLNR,DHX9,EIF4E,ELANE,EWSR1,FOXI1,GLRA2,GUCY2D,HNRNPD,KARS,KPNA2,MC4R,NDUFC2,RPL15,SLN,ANP32A,TAF15,COX7A2L,DDX21,METAP1,CLDN17,RWDD1,NOP16,LUC7L3,COMMD8,ALOX12,CD33,CEACAM4,ERCC3,GPR3,GSTM5,H3F3B,HNRNPA2B1,INSL3,LPO,NCL,OMD,PARK2,SERPINI2,POU2F1,PRTN3,PEX2,SLC5A5,SUPV3L1,SUV39H1,DNAJC7,ZNF35,ZNF207,LUZP1,SLC25A14,TRIP11,CNOT8,NCOR1,PUM1,BMS1,SMG7,CLP1,GLMN,LAMB4,GPATCH8,WDR43,RPRD2,ZNF593,CDK5RAP1,SETD4,POLE3,WDR60,RNF220,ENOSF1,PRPF40A,DDX27,IQCC,NGLY1,ZC3H15,C21orf59,RBM25,MRPL9,B3GNT4,MUL1,TCTN2,TTC26,CHD9,CEP63,LAS1L,RBM4B,MYOZ3,IQSEC3,CEACAM8,CLC,CSF1R,DEFA4,FEN1,MEFV,CXCL9,CFP,ZNF710,CCNT2,CHD4,AP2M1,DDOST,DNMT1,ENO1,GAS8,GGCX,HNRNPH3,IK,IL3RA,IMPDH2,IPO5,PAFAH1B2,RFC1,TCP1,NR2C1,UBE2G2,ARID1A,EIF3A,HDAC3,SLC24A1,RBM39,ZBTB39,RBM19,THRAP3,HMGXB4,HNRNPR,CALCOCO2,DNAJA2,ERP29,SF3B2,DUSP12,GPN1,PPIP5K2,ATXN10,COG4,APPL1,DNAJC2,GOLGA7,ANAPC5,TXNL4B,MED9,HEATR1,SLC25A36,WDR41,NIT2,USP36,CSPP1,CPSF7,HPS4,G6PC3,IRGQ,PRRC1,HNRNPA3"
Hepatocytes,"ABAT,ACADL,ADH1A,ADH6,AFM,AGT,AGXT,AHSG,ALB,ALDOB,AMBP,ANPEP,AOX1,APCS,APOA1,APOA2,APOC1,APOC3,APOE,APOH,ARSE,ASGR1,SERPINC1,BAAT,BHMT,SERPING1,C1R,C1S,C2,C4BPA,C4BPB,C5,C8A,C8B,C8G,C9,SERPINA6,CD14,CDO1,AKR1C4,ABCC2,CPB2,CPN2,CPS1,CYP2C19,CYP2C8,CYP2C9,CYP2E1,CYP3A4,CYP3A5,CYP7A1,DAO,DIO1,DPYS,EHHADH,ENPEP,EPHX2,F2,F5,F9,F13B,FABP1,FGA,FGB,FGG,FGL1,GAS2,GATM,GC,GHR,GLDC,GRB14,GYS2,HABP2,SERPIND1,HGD,HHEX,HLF,HPD,HPN,HPX,HRG,IGFBP1,ITIH2,ITIH3,KCNJ8,KNG1,LECT2,LGALS4,LIPC,MAN1A1,MAOB,MAT1A,MBL2,MT1G,MT1M,MTTP,MYLK,NNMT,ORM1,OTC,PAH,SERPINA5,PCK1,ABCB1,ABCB4,SERPINA1,SERPINA4,SERPINF2,FXYD1,PON1,PPP1R3C,PROX1,PXMP2,RARRES2,RBP4,SALL1,SDC2,SLC2A2,SLC6A1,SLC10A1,SLC22A1,SPINK1,SPP1,AKR1D1,SULT2A1,TAT,SERPINA7,TDO2,TFPI,TFR2,TM4SF4,TTR,UGT2B4,UGT2B15,VIL1,VTN,ACOX2,KMO,PLA2G4C,HSD17B6,SKAP1,VNN1,NAT8,TM4SF5,PAPSS2,RGN,NR1I3,NR1H4,SLC17A2,ABCA8,UBD,SLCO1B1,SLC17A3,IQGAP2,FERMT2,SLC7A9,ANXA10,ATF5,CUX2,QPRT,BHMT2,MYRIP,PCOLCE2,GNMT,ANGPTL3,SLCO1B3,TMEM176B,SNX10,A1CF,SERPINA10,HSD17B11,HAO2,PIPOX,HAO1,FAM134B,ACSM5,SLC38A4,SLC47A1,TMEM176A,SLC30A10,APOM,GBA3,PBLD,ABCG5,ALDH8A1,TRPM8,ECHDC3,UGT2A3,AGMAT,INHBE,RUNDC3B,ADH1C,ALDH1A1,CRYM,GSTA1,SEPP1,PLSCR4,EFHD1,AADAC,ACADS,ACAT1,ADH1B,ALDH2,ALDH3A2,APOF,ARG1,BCHE,CEACAM1,C6,CEBPA,CRP,CYB5A,CYP2A6,CYP2A7,CYP2J2,DDC,DEFB1,ELF3,EPHX1,F7,F10,F11,FCN2,G6PC,GCGR,GCH1,GCKR,CXCL2,HAL,CFH,HGFAC,HMGCS2,HP,HYAL1,IGFALS,KHK,KLKB1,LBP,LCAT,ALDH6A1,MT1F,MT1X,PCSK6,PCCA,SERPINF1,PLA2G2A,PZP,CCL16,SLC7A2,APOL1,ABCB11,PROZ,KYNU,SELENBP1,SLC17A4,SLC22A7,GADD45G,SLC38A3,SDS,SLC27A5,SLC27A2,HAAO,SHC2,CCDC69,NPC1L1,OSGIN1,MLXIPL,UPB1,PID1,C14orf105,C4orf19,IL17RB,OGDHL,SEMA4G,CYP4F12,ATF7IP2,MIA2,SEC14L4,APOB,ASGR2,BDH1,CFB,CAT,ENTPD5,CTSO,CYP2B6,NR5A2,HSD11B1,HSD17B2,INHBC,INSR,PC,ENPP1,MASP1,RET,RNASE4,SEL1L,SLC1A1,SPP2,THPO,TMPRSS2,TTPA,DDO,FCN3,KCNK5,CREG1,LPIN2,SLC25A13,SEC23A,SLC26A1,SEPHS2,SLC35D1,DCXR,SLC35C1,RAB20,CYP4F11,GREM2,COLEC11,GRTP1,COL18A1,CFHR5"
HSC,"CD34,CRHBP,ERG,GSTM5,PLS3,MMRN1,LAPTM4B,FAM124B,FLT3,SLC4A1,SCARF1,ZMYM3,XPO7,EXD2,KLHL9,LSM2,CCDC121,ATP8B4,TCEAL4,MYCT1,ALAS2,CA1,GYPA,GYPE,AHSP,CRYGD,ELN,KCNJ13,MPL,PDE6G,PLA2G1B,SYPL1,ZNF3,RNF7,LECT1,CTNNA3,PHF20,EMCN,CLEC3B,VN1R1"
iDC,"ALOX15,F13A1,FCER2,IL3RA,CCL13,CCL17,CCL18,CCL23,CCL24,ALDH1A2,CD209,CD86,CLEC10A,SPINT2"
Keratinocytes,"CALML3,CSTA,DSG3,F3,GJB5,SFN,IL1A,JAG2,KRT5,KRT6B,LAD1,PI3,SERPINB5,SOX15,SULT2B1,LY6D,FGFBP1,AP1M2,FST,HES2,TMEM40,RAB25,S100A14,MMP28,ZBED2,KRT6C,ADAM8,AIM1,ALDH1A3,CDH3,COL17A1,CYP27B1,DSC3,EPHA1,EREG,FAT2,FGFR3,GJB3,GNA15,CXCL3,IL1B,ITGA6,ITGB4,ITGB6,KCNJ15,KRT6A,KRT14,KRT16,KRT17,LAMA3,LAMB3,LAMC2,MMP9,NGFR,SERPINB2,PGF,PKP1,FXYD3,PPL,PRSS8,PTHLH,S100A2,S100A8,S100A9,SDC1,SORL1,SPRR1B,ST14,TGFA,XDH,TP63,ARTN,CLCA2,PLCH2,KIAA0040,SH2D3A,TSPAN1,MPZL2,NDRG1,ST6GALNAC2,PPP1R13L,PKP3,KLK8,LPAR3,CBLC,TRIM29,KLK5,G0S2,DEF6,IRX4,ANGPTL4,LSR,GPR87,ESRP1,EPN3,FERMT1,SLC2A9,DLK2,C1orf116,ELMO3,TNS4,ALS2CL,PTK6,PRMT5,FLRT3,TP53AIP1,GJB4,BDKRB2,IRF6,PLA2G4A,SLC6A11,SLC12A4,CORO2A,CNKSR1,B3GNT3,DUSP14,TFCP2L1,FGD6,LTB4R2,ZNF750,MST1R"
ly Endothelial cells,"FLT4,HYAL2,CLEC1A,SOX18,ROBO4,CXorf36,MYCT1,KANK3,ACVRL1,ANGPT2,RHOC,BMX,CETP,ERG,FUS,GPR4,KDR,MYL2,NOTCH4,RALA,MAPK12,TEK,TIE1,CLDN5,TNFSF18,KALRN,FEZ2,SEMA6B,LYVE1,ARHGEF15,MMRN1,CD93,N4BP3,EMCN,RASIP1,TMEM39B,POMGNT1,MRPL17,MMRN2,NETO2,PLVAP,GJA4,SELE,VWF,TPM3"
Macrophages,"ACP2,ATOX1,ATP6V0C,ATP6V1E1,C1QA,CD9,CD48,CLCN7,CCR1,CRYBB1,CYBB,FCER1G,FDX1,FOLR2,FPR3,FTL,HEXA,HEXB,KCNJ5,LAIR1,M6PR,MDH1,NUBP1,P2RX7,RAC1,CCL8,CCL22,STX4,TCEB1,TYROBP,VAMP8,MARCO,CD84,ATP6V0E1,ATP6V1F,CD163,CIAO1,LY86,ARHGEF11,HS3ST2,ARPC4,ATP6AP2,BAIAP2,PRDX3,ERP29,LILRB5,SDS,LILRB4,VSIG4,FKBP15,ZZZ3,SIGLEC7,SIGLEC9,ADAMDEC1,ORMDL2,COMMD9,SPG21,MS4A4A,UBE2D4,TRAPPC2L,TREM2,TMEM70,ARL8B,TMEM126B,SLAMF8,C12orf4,HAMP,GUF1,YIF1B,CD63,TPP1,CMKLR1,SLC31A1,COX5B,COX7B,COX8A,CYBA,GLB1,LAMP1,NDUFB3,NDUFS3,NDUFS6,PCMT1,MAPK13,PSME1,RB1,SDHD,SUMO3,SNX2,UQCRC2,SNX3,ITGB1BP1,S1PR2,COX5A,SCAMP2,UQCR11,STAB1,DNAJC13,CLEC5A,UQCR10,KCTD5,PQLC2,COMMD8,SLC38A7,NOP10,WDR11,TMEM9B,MRS2,DNASE2B,MS4A6A,MRPL40,PPCS,PMFBP1,ADCK2,HIGD2A,CHIT1,CSF1,CYP19A1,HK3,MSR1,SLC6A12,MYOZ1,ADCY3,ALCAM,ABCD1,BPI,KCNJ1,KCNMB1,CXCL9,MMP8,CCL1,CCL7,SLC1A2,NCAPH,ATP6V1H,LONRF3,MFSD7,ATP6V1A,ATP6V0A1,FGR,ITGAX,MMP19,SLC11A1,NUMB,CD164,CIR1,BCAP31,CCDC88A,PCDHB11,ACADVL,ARSB,ATP6V1C1,CETN2,COX15,DBI,ECHS1,GRB2,HADHB,HMGCL,KIFC3,TNPO1,MGST3,NARS,NDUFA8,NDUFB6,NDUFS8,PRDX1,PEX14,PSMD10,PTPN12,PEX19,QDPR,RAB1A,RAB5C,RALA,RENBP,CLIP1,CCL18,SDHB,SRC,MLX,TRAF3,NSMAF,AGPS,SNX4,LONP1,GSTO1,BAG3,FEZ2,PDCD6IP,SNUPN,STAM2,IGSF6,ZMPSTE24,TMEM147,VTI1B,TGOLN2,SPIN1,EMILIN1,EFR3A,IBTK,NPTN,ATP2C1,CNIH4,GLRX2,DERA,NDUFAF1,HSD17B12,ZDHHC3,TNFRSF12A,ATP6V1D,TMBIM4,STYXL1,BTBD1,NUDT9,TMEM33,TMEM127,ACTR10,KCMF1,TULP4,RTN4,MKL2,KLHL12,NSUN3,ELOVL1,SLC30A5,MAPKAP1,TCEAL4,CHD9,TM2D1,G6PC3,TBC1D16,42988,ZDHHC24,HCCS,USF2,CEPT1,TMEM115,TRAPPC3,SLC25A24,C7orf25,PANK3,SETD3,STX18,LDHAL6B,TSPO,HTT,MTHFR,PTPRA,RABGGTA,CPNE6,TTLL4,IL17RA,NRBP1,SH3GLB1,VPS53,MTMR14,MUL1,C12orf49"
Macrophages M1,"ACP2,ABCD1,C1QA,FDX1,CCL22,CD163,SCAMP2,ADAMDEC1,ARL8B,HAMP,CCL8,TREM2,ADRA2B,ALCAM,ATOX1,ATP6V0C,ATP6V1E1,BLVRA,CD48,CD63,CLCN7,TPP1,CLTC,CCR1,CMKLR1,SLC31A1,COX5B,FCER1G,FOLR2,FPR3,FTL,HEXB,HK3,IL10,IL12B,ITGAE,LAIR1,CXCL9,MMP19,NARS,NDUFS2,P2RX7,PDCL,MAPK13,PTGIR,PTPRA,RELA,CCL7,CCL19,SRC,STX4,TCEB1,TFRC,AGPS,MARCO,SNX3,CD84,USP14,ITGB1BP1,ATP6V1F,TRIP4,CIAO1,WTAP,ARHGEF11,ABI1,ACTR2,BCAP31,ZMPSTE24,BCKDK,EXOC5,STIP1,UQCR11,SDS,LILRB4,OGFR,TFEC,FKBP15,DNAJC13,TDRD7,STX12,IL17RA,ABTB2,FAM32A,SIGLEC7,SIGLEC9,CECR5,SLC25A24,NRBP1,MS4A4A,OTUD4,PQLC2,HAUS2,NECAP2,WDR11,ZC3H15,CCDC47,UTP3,MRS2,MRPL40,VPS33A,CORO7,LIMD2,TMX1,DOT1L,ADO,ADCK2,TSPO,C3AR1,DAGLA,CALR,CHIT1,CYBB,CYC1,CYP19A1,DLAT,GP1BA,GPD1,IFNAR1,KCNJ5,KIFC3,MT2A,MYBPH,MYH11,MYO7A,PRDX1,RAB3IL1,RNH1,MRPL12,CCL1,CCL24,VIM,RRP1,S1PR2,AP1M2,ACTR3,LILRB1,AFG3L2,EMILIN1,VSIG4,HSPB7,COQ2,WSB2,SLAMF8,DNASE2B,CLPB,MFSD7,ADCY3,C1QB,CSF1,CSF1R,FANCE,KCNJ1,LAMP1,MSR1,CCL18,SLC6A12,SPR,PKD2L1,LONP1,IGSF6,PHLDB1,CYFIP1,NCAPH,MYOF,GLRX2,NDUFAF1,SPG21,ATP6V1D,ATP6V1H,TMEM70,PLEKHB2,TMEM33,MYOZ1,LONRF3,ANXA2,ATP6V1A,CD80,FPR2,S100A11,SLC1A2,SLC11A1,SIGLEC1,TIE1,HYAL2,CD300C,CLEC4E,KCNK13,TBC1D16"
Macrophages M2,"ACP2,ADCY3,ABCD1,ALK,ARSB,ATP2A2,ATP6V1C1,ATP6V0A1,TSPO,CAMP,CANX,CD63,CD81,CLCN7,TPP1,SLC31A1,FDX1,FGR,FTL,GLB1,HADHB,NCKAP1L,HEXA,HEXB,HPS1,IFNAR1,ITGAX,KCNJ5,LAIR1,LAMP1,MSR1,MYO9B,P2RX7,SDCBP,SNX1,SNX2,STX4,MARCO,CDS2,PABPC4,ATP6V0D1,PICK1,ARHGEF11,HS3ST2,PDCD6IP,SCAMP2,COL4A3BP,HSPH1,OS9,SDS,LILRB4,VSIG4,GABARAP,TFEC,WDFY3,TBC1D9B,ZC3H3,CYFIP1,PLEKHM2,FKBP15,SMG5,UNC50,GGA1,SNX5,SLC39A1,ADAMDEC1,COMMD9,SLC25A24,SPG21,MS4A4A,ANKFY1,BTBD1,STX18,RIN2,PQLC2,TMEM70,ACSM5,AGGF1,SLC38A7,VPS53,NOP10,IARS2,CCDC88A,VPS35,TMEM184C,EXOC1,SLAMF8,C16orf62,POGK,HAMP,DNASE2B,MTMR14,GORASP1,C10orf76,LONRF3,UBXN6,ADRA2B,AP1B1,ALDH9A1,ANXA11,AQP8,CD52,ELK1,FH,FLT1,GPD1,KCNJ1,MMP19,NDUFB1,NPR1,PDE1B,PEX19,S100A6,SLC6A7,SLC6A12,SNAPC2,TAF10,UCP3,UGP2,USF2,XPNPEP2,AKR7A2,SNX3,TNFSF14,NFS1,GSTO1,KIAA0196,BCAP31,CEPT1,BAIAP2,SLC9A6,VTI1B,ARFGEF2,LILRA2,EFR3A,NCAPH,ZCCHC4,TMED5,MYO15A,NAGPA,ZNF219,ANGPT4,ATP6V1D,TREM2,KCTD5,MFN1,KCNK13,TMEM9B,MYOZ1,IPPK,CARD14,ALG9,MRM1,DHX57,SLC25A46,OSBPL11,CCDC85C,DNASE1L3,GUCA1A"
Mast cells,"AMHR2,ANXA1,ANXA11,ATP6V1C1,BMPR1A,BTK,C3AR1,C8G,CASP10,CD22,CD33,SIGLEC6,CMA1,CPA3,CTSG,DIAPH1,DR1,MS4A2,GATA1,HDC,IL5,IL5RA,ITGA2B,KCNJ5,KRT1,LCP2,LTC4S,LYL1,MTR,NTRK1,OSBP,P2RX1,PAK2,PDE4A,PIK3R2,POLR2A,PPP3R1,PRG2,PRKAR1A,PTGDR,PTGER3,RAD23B,RENBP,RGS13,RXRB,SLC18A2,SNRNP70,SOS2,SYPL1,TADA2A,MAP3K7,TAL1,TEC,TPSAB1,RNF103,ZNF212,STAM,NDST2,AGPS,PABPC4,RGS11,CD84,CDC16,USP10,ZMYM4,WDR46,ZNF264,CTR9,DEPDC5,LRIG2,THRAP3,SNUPN,KLRG1,BAIAP2,HSPH1,SERINC3,IFT27,ATXN2L,U2AF2,ZBTB1,BAHD1,TRIM32,FAM120A,DNAJC13,ESYT1,ARHGEF12,ATXN10,UPF2,SPAG8,STAP1,HIBCH,SIGLEC7,SNX5,SIGLEC8,HPGDS,REM1,MRPS28,CPSF1,BET1L,ZBTB7A,NBAS,LAX1,DNAJC28,AGGF1,BTBD7,TTC17,CENPJ,ZNF471,CTDSP1,HRH4,ACBD3,DCLRE1B,ZNF426,MBOAT7,ZMYM1,FBXO11,CHD9,ZKSCAN3,C6orf25,FBXO38,MAGT1,USP48,OSBPL9,ZNF549,TIPRL"
Megakaryocytes,"ARHGAP6,GP1BA,HTR2A,MPL,PF4V1,SELP,GP6,CLEC1B,RUFY1,ANXA3,NCKAP1,TUBB1,LRP2BP,HBD,VWF,KALRN,RGS6"
Melanocytes,"CA8,MLANA,GJA3,OCA2,S100B,SOX10,GPR137B,TYR,KCNAB2,PIR,FARP2,KCNE4,QPCT,SLC45A2,TBC1D16,CDH3,MMP17,CLEC11A,TYRP1,TNFRSF14,WIPI1,MCOLN1,WFDC1,APH1B,UAP1L1,CBR3,NOV,DCT,TRPM1,SLC16A6,PLXNC1,ACACB,ACP5,ASPA,BCL2A1,CEACAM1,CAPN3,RUNX3,CDK2,LYST,CLCN5,ABCC2,CYP27A1,DAB2,EDNRB,ERBB3,ESR2,IFI6,GCNT2,GJB1,GK,GMPR,GNAL,HLA-DRA,HLA-DRB1,HLA-F,IFI16,IFI27,IFI35,SP110,IFIT2,IFIT1,IFIT3,IRF4,ISG20,ITGB8,ITPKB,KCNJ13,KIT,L1CAM,MBP,MITF,MMP8,MX1,MX2,MYO5A,GPR143,OAS1,OAS2,PAEP,PAX3,PDE3A,PDE3B,PDE4B,PLP1,PLSCR1,PROS1,RAB27A,SGK1,SLC1A4,STAT1,TAP1,TCN1,TLR1,UBA7,WARS,ALX1,GAS7,OASL,INPP4B,GYG2,KYNU,ITM2A,SOX13,AATK,ISG15,GREB1,ZFYVE16,RNF144A,ZEB2,XYLB,HMG20B,TESK2,GPNMB,IFI44,IQGAP2,IFI44L,LZTS1,NLGN1,ATP10B,ANKRD28,MCF2L,NEDD4L,TDRD7,DAAM2,DDX58,CA14,SLC7A11,PRKD3,IFIT5,SLC39A6,GAPDHS,FOXD3,CDH19,OSTM1,SLC43A3,ATP6V0A4,CDON,PI15,LAP3,LEF1,HERC5,PLA1A,TRPV2,C21orf91,PLEKHA5,XAF1,BNC2,SAMD9,HERC6,MOCOS,TMEM140,MCOLN3,DDX60,DOCK10,BIN3,CYSLTR2,SEMA6A,AVPI1,RTP4,IFIH1,RAB17,GNPTAB,TMPRSS5,ARHGAP24,RSAD2,ASB9,PRUNE2,PHACTR1,ZNF749,ABL2,APOD,CD36,CLCN7,CTSK,NQO1,ETV5,ACSL3,HLA-DPA1,IRF7,LGALS3,MME,PDE4D,PDK4,PRKCE,SLC12A2,SP100,STAT5A,STX3,TBX2,VGF,SORBS2,PPFIBP2,IFITM1,UBE2L6,TRIM14,NAMPT,SLC27A3,CIT,IRAK3,PDZRN3,ZFYVE26,SAMHD1,TRIB2,SPATA6,EGLN1,RPP25,BCAN,POPDC3,APOL6,APOLD1,PYHIN1"
Memory B-cells,"ACRV1,ADCY2,AQP8,ART1,TNFRSF17,BLK,C4BPA,S100G,CASQ2,CD1C,CD19,MS4A1,CD22,SIGLEC6,CD37,CD72,CD79A,CD79B,CETP,CHRM2,CHRNA2,CCR6,CNR2,COX6A2,CPA2,CPB1,CSN1S1,NCAN,CYLC2,CYP2A7,CYP2C19,DCC,DPP6,DSP,FMO1,FSHR,GABRA4,GAD2,GK2,GNAT2,GNRHR,GPX5,GRIN2B,GRM6,HCRTR2,HLA-DPB1,HSD3B2,HTN3,INHBC,KCNA5,KCNJ10,KIF5A,KRT2,LECT2,CD180,MBL2,MC4R,MEFV,MEP1B,MAP3K9,NPY5R,NTRK3,OTC,PAX5,SERPINA4,PLIN1,PNOC,PNLIPRP1,POU4F2,PRKCB,PTH1R,PRPH2,SELP,SLC12A3,SLC17A1,SLN,SPIB,SYN2,SYPL1,TSHB,WNT2,ZIC3,NPHS2,UNC5C,ADAM20,PROZ,BAIAP3,KALRN,KRT75,CER1,TMPRSS11D,LY86,KIAA0125,AP1M2,SSX3,GLYAT,DSCR4,COLEC10,RRH,CCR9,CD3EAP,ADAM30,SP140,GGA2,HECW1,CRB1,TNFRSF13B,CHST5,AIPL1,SLC24A2,STAP1,CLDN17,TSPAN13,VPREB3,FSCN3,TAS2R14,WNT16,SLCO1C1,DDX4,ULK4,QRSL1,GPRC5D,SLC30A10,SLC17A7,PGLYRP4,VN1R1,HRH4,SLC5A7,CHP2,MS4A5,ZNF747,FCRL2,RIC3,TCTN2,TRPM3,MOGAT2,ADAMTS12,OBSCN,MYOZ3,ZNF548,KHDRBS2,SHISA6,FMO6P,ANKRD34C,CAPN3,HNRNPL,ADAM21,SCRN1,PIKFYVE,ODC1,MBD4,FSCN2,ZBTB32,NT5C,TRMT61A,CXCR5,HTR3A,MGAT5,RNGTT,CXCL13,MIOS,AICDA"
MEP,"AHCY,CDK4,CPA3,CRHBP,ERG,GSTM5,HDC,EPCAM,PRG2,RYR3,MINPP1,PAICS,HPGDS,LAPTM4B,POLE2,TCEAL4,BUB1B,STIL,KIAA0101,SNX5,MRPL15,C11orf95,FAM124B,FXN,GATA1,HBD,KEL,MYL4,PCCB,PNMT,RHAG,SURF2,TPSAB1,UNG,AIMP2,CHAF1B,RUVBL1,NAT6,ERAL1,MRPS2,CTNNBL1,EXOSC5,ACD,DCTPP1,MTG1,FCER1A,FMO1,KRT1,NTRK1,IFRD2,MRPL28,TMED1,FBXO7,MECR,DDX41,C21orf59,NOL12,ATIC,BCS1L,CCT6A,DDX1,DDX10,HNRNPAB,ITGA2B,PSMG1,LDB1,VAPA,TXNL1,KEAP1,URB1,LRPPRC,TRAP1,PRMT3,NUDC,FASTKD2,PDCD11,MYO16,PPRC1,WDR43,MLC1,SERBP1,GNL3,NUFIP1,RPUSD2,RRP15,MRTO4,NOP16,MKS1,PAK1IP1,CDKN2AIP,TSR1,WDR12,BCCIP,GUF1,CARS2,FN3KRP,OGFOD2,MRM1,NOL10,NAA15,ZKSCAN3,MED25,TIMM50,CA1,COQ3"
